Time,SlantRange,Azimuth,Elevation,RadialVelocity,X,Y,Z,Group_Size,Circle,Track_ID
71389.852,2819.0,31.580000000000002,4.95,6.0,2392.5768753966086,1470.7721041102595,243.24126518434602,0,261,1112
71390.136,112.00000000000001,64.97,10.490000000000002,-1.2,46.59440451650386,99.78558080025637,20.391158184564063,0,261,1103
71392.935,2110.0,43.99,1.16,-1.2,1517.7516624168659,1465.1639004006547,42.71576048229915,0,262,1115
71395.756,2059.0,25.46,11.34,5.3,1822.7485790052128,867.8449704199047,404.8626002131499,0,263,1115
71400.737,971.0,-91.25999999999999,3.6199999999999997,2.4,-21.309082229395973,-968.8282968211414,61.307864855881505,0,265,1128
71403.925,1073.0,-66.26000000000002,4.14,2.4,430.8485910574197,-979.6416860828107,77.46391723030942,0,266,1126
71404.271,665.0,-24.589999999999957,18.41,-7.0,573.7428160502491,-262.5588527771987,210.0167370926695,0,266,1134
71404.313,2410.0,-19.490000000000023,22.900000000000002,12.3,2092.846987376997,-740.7049374560878,937.788719837897,0,266,1131
71404.827,111.99999999999999,42.62,-0.94,-2.4,82.4053146660454,75.82867581110145,-1.837400208152547,0,266,1132
71404.91,481.99999999999994,54.43,1.22,1.2,280.3144689207501,391.9725506423271,10.262458605329307,0,266,1134
71404.93,198.0,57.09,0.04,-1.2,107.57752841561143,166.22591937612287,0.1382300655293407,0,266,1132
71404.952,3995.9999999999995,57.6,5.090000000000001,2.4,2132.720332654462,3360.6295000918985,354.52693239627604,0,266,1133
71413.53,2093.0,14.739999999999998,3.5,2.4,2020.344732700579,531.5353368965489,127.77459324645544,0,269,1149
71413.865,3786.0000000000005,55.46,2.4999999999999996,-3.6,2144.548680396716,3115.6756485187993,165.14300056516208,0,269,1146
71413.918,112.00000000000001,60.94,11.289999999999997,-1.2,53.348501702551175,96.00600423176624,21.926799071979936,0,269,1149
71415.627,972.0000000000001,-91.03,3.939999999999999,1.2,-17.431301631061043,-969.5460440941604,66.78785896262522,0,270,1155
71416.194,1444.0,-23.09,1.54,-2.4,1327.8413198091562,-566.098424231717,38.807260787709765,0,270,1154
71421.919,1233.0,-50.72000000000001,1.17,-2.4,780.4627577828002,-954.218541698289,25.176544505888963,0,272,1154
71422.128,2052.0,-25.670000000000044,6.65,15.7,1837.0326142467,-882.919736076232,237.6297831523055,0,272,1162
71430.517,999.0,-85.21000000000001,5.44,-2.4,83.0446935993559,-991.0271817835636,94.70852037233337,0,275,1177
71433.852,972.0,-47.99000000000003,0.45,-1.2,650.5009474235052,-722.2009689639018,7.633991663827417,0,276,1177
71439.472,1042.0,-87.85000000000005,5.37,-2.4,38.919867375994514,-1036.6964579453636,97.51768048396217,0,278,1193
71445.407,1310.0,-90.25,5.42,1.2,-5.690379525291466,-1304.1306461754195,123.7371297830231,0,280,1205
71449.371,4891.0,29.12,3.38,-2.4,4265.356721490913,2376.0176167503746,288.36317955689,0,281,1205
71454.466,1049.0,-74.04000000000003,5.7,-2.4,287.01337615591933,-1003.5783538518751,104.18641748107733,0,283,1220
71454.635,1614.0000000000002,-52.29000000000002,1.2,2.4,987.010997134414,-1276.5824609063973,33.80106569173813,0,283,1221
71454.97,442.00000000000006,-14.239999999999991,-1.2499999999999998,1.2,428.3170925738837,-108.69911034417069,-9.642179185276015,0,283,1224
71454.991,1860.0,-11.490000000000013,-0.11,-2.4,1822.7212847309354,-370.5055553779543,-3.570941455907994,0,283,1224
71455.012,574.0,-8.470000000000047,-1.16,-1.2,567.6230989359954,-84.52801922040948,-11.620306406085172,0,283,1222
71455.054,4435.0,-3.679999999999988,-0.19,1.2,4425.831065468686,-284.65432436172404,-14.706989987196824,0,283,1220
71455.243,2084.0,18.929999999999996,4.1,2.4,1966.2432110642037,674.3459305835977,149.00067398931745,0,283,1222
71455.254,2530.0,19.27,8.67,3.6,2360.963220383121,825.4100150263619,381.3803601292844,0,283,1220
71455.495,524.9999999999999,48.94,1.0900000000000003,-1.2,344.7833238484226,395.78999298117003,9.987044207324567,0,283,1222
71457.634,3682.0000000000005,-51.480000000000025,1.35,2.4,2292.4681112111525,-2879.9633517949383,86.74705411735259,0,284,1226
71460.276,1014.0,-91.52999999999997,4.87,1.2,-26.97642824731007,-1009.9791377445152,86.08375944313289,0,285,1229
71466.232,997.0000000000001,-91.92000000000004,4.789999999999999,2.4,-33.2868745765967,-992.9601471311219,83.25340948131173,0,287,1239
71472.691,1634.9999999999998,-31.230000000000004,3.6600000000000015,1.2,1395.2254193334686,-845.9773490609427,104.3712322508756,0,289,1243
71472.922,160.0,-3.6100000000000443,-0.51,1.2,159.67619481391105,-10.073954037570806,-1.4241698630552921,0,289,1244
71472.944,2251.0,-1.0499999999999996,1.26,2.4,2250.0778314458034,-41.23944664575594,49.498085584228996,0,289,1248
71472.964,2243.0,1.51,3.73,2.4,2237.4713841924527,58.98103217079995,145.9179316053235,0,289,1249
71472.985,2271.0,4.049999999999999,4.06,1.2,2259.6439048133325,159.99136929546825,160.78925707557823,0,289,1250
71473.006,112.99999999999999,6.970000000000001,1.86,6.0,112.10581280971498,13.705283418177828,3.6676887409599894,0,289,1243
71473.353,1864.0000000000002,48.77000000000001,15.290000000000003,-1.7,1185.0455727666492,1352.2373882214897,491.54555878584546,0,289,1243
71473.396,180.00000000000003,53.64000000000001,24.059999999999995,1.7,97.4427912937567,132.36155099514127,73.38475484078415,0,289,1249
71473.426,2140.0,57.59,2.6,-2.4,1145.803939977327,1804.8017694703435,97.0767945966031,0,289,1244
71473.446,2163.0000000000005,59.9,4.12,7.2,1081.9644295902099,1866.4865852477951,155.40205980474838,0,289,1243
71473.457,2083.0,60.28,9.83,-3.6,1017.5109026848113,1782.4405209730453,355.62107939614464,0,289,1249
71473.5,1555.9999999999998,66.36,17.660000000000004,8.8,594.5343516218065,1358.2498704554203,472.040458170136,0,289,1250
71475.607,1433.0000000000002,-36.69000000000002,1.9199999999999995,1.2,1148.448827787109,-855.7156096711194,48.01130408143544,0,290,1249
71475.837,1852.9999999999998,-10.970000000000045,-0.7000000000000001,-2.4,1819.0042868733342,-352.59030141152755,-22.638102547713004,0,290,1254
71476.195,3438.9999999999995,32.74,3.7500000000000004,-2.4,2886.4644220933865,1855.9241690233353,224.92136142246198,0,290,1244
71476.215,3102.0,34.959999999999994,2.9400000000000004,-2.4,2538.9050336984465,1775.1202082974546,159.10209286710472,0,290,1243
71476.403,2572.9999999999995,57.43,4.400000000000001,12.0,1381.0397734858097,2161.9648818163305,197.39805937030437,0,290,1255
71476.425,1030.0,60.690000000000005,2.29,-1.2,503.8180099672725,897.4260897078473,41.15612158962818,0,290,1255
71476.478,2533.0,65.09,8.73,4.8,1054.5243579468,2270.7404130047626,384.4546205260788,0,290,1248
71478.816,1852.0,-10.540000000000022,-1.07,-2.4,1820.4345351700927,-338.71232772865267,-34.5841322673628,0,291,1249
71478.921,328.0,1.6900000000000004,-0.67,2.4,327.8349116207067,9.672644939372733,-3.8354481511607066,0,291,1256
71479.132,3353.0000000000005,27.739999999999995,4.079999999999999,3.6,2960.1150442017324,1556.7322777233244,238.56349382277537,0,291,1255
71479.277,3402.9999999999995,45.1,5.500000000000001,-2.4,2391.0222507966637,2399.383093863138,326.1630958263222,0,291,1256
71479.34,519.0,52.45,1.6800000000000002,-1.2,316.17041848780406,411.29764054755776,15.215694307486505,0,291,1243
71481.584,1114.0,-35.55999999999999,1.77,1.2,905.81435743774,-647.5433572416933,34.408579625015044,0,292,1257
71481.877,630.0,-0.36000000000004256,-0.74,-1.2,629.9350214297344,-3.9580505571203157,-8.136498762204248,0,292,1254
71482.15,4692.0,32.190000000000005,4.54,-3.6,3958.3156158590405,2491.7196572689872,371.395523432614,0,292,1256
71482.193,312.0,37.96,1.72,2.4,245.88256292902022,191.82822293192285,9.364728198774413,0,292,1248
71482.381,521.0,60.900000000000006,1.5000000000000002,2.4,253.2939059516957,455.0793304242587,13.638190068401913,0,292,1249
71488.274,490.99999999999994,53.1,0.6800000000000002,-1.2,294.78556839187564,392.6175146055951,5.827168506581783,0,294,1263
71490.056,1019.0000000000001,-91.0,4.799999999999999,-1.2,-17.721631160911077,-1015.2715692430671,85.26772235562947,0,295,1265
71494.062,530.0,32.660000000000004,2.25,1.2,445.85649552598437,285.7954249460717,20.807702352306364,0,296,1265
71498.991,1003.0,-90.63000000000002,4.010000000000001,-2.4,-11.001339867003228,-1000.4840322112243,70.14037219391282,0,298,1280
71502.283,3662.0000000000005,-51.94999999999999,1.2999999999999998,1.2,2256.488759431483,-2882.9845687092443,83.08101554352533,0,299,1280
