时间(s),斜距(m),方位角（°）,俯仰角（°）,径向速度（m/s）,圈数
42548.299,873,347.92,14.43,5.3,12
42548.32,841,349.57,13.12,7,12
42548.33,2424,352.23,4.69,7.2,12
42548.342,703,353.24,12.87,5.3,12
42548.351,1810,353.69,7.51,8.4,12
42548.362,1114,354.63,10.24,5.3,12
42548.393,2200,358.06,5.34,6,12
42548.403,820,359.4,15.3,5.3,12
42548.403,461,359.64,23.74,5.3,12
42548.403,433,359.42,28.45,5.3,12
42548.446,480,4.46,21.57,7,12
42548.518,2123,15.81,6.58,6,12
42548.55,563,17.32,17.43,5.3,12
42548.571,695,20.1,14.36,5.3,12
42548.571,565,20.11,19.74,5.3,12
42548.656,718,30.21,15.39,5.3,12
42550.648,853,271.19,10.86,5.3,13
42550.774,705,286.81,15.86,5.3,13
42550.816,832,291.87,10.68,7,13
42550.858,754,296.44,16.15,5.3,13
42550.921,910,304.49,10.41,5.3,13
42550.963,1102,308.99,10.43,7,13
42550.963,939,309.22,13.62,8.8,13
42550.963,674,310.33,21.3,5.3,13
42550.983,1014,311.66,12.5,5.3,13
42551.004,922,314.2,13.62,5.3,13
42551.025,959,316.66,13.72,5.3,13
42551.073,1096,321.77,12.54,7,13
42551.073,641,322.87,21.36,5.3,13
42551.109,1039,326.81,12.94,10.6,13
42551.13,984,332.11,14.71,5.3,13
42551.152,1234,330.19,7.02,7.2,13
42551.171,1195,334.37,10.82,5.3,13
42551.171,572,334.14,20.35,5.3,13
42551.183,1385,335.31,6.99,7.2,13
42551.193,653,336.64,14.69,5.3,13
42551.193,665,337.89,19.79,7,13
42551.236,732,341.77,17.67,5.3,13
42551.236,489,342.27,21.34,7,13
42551.236,353,342.92,28.18,5.3,13
42551.267,2126,346.21,4.82,8.4,13
42551.277,1401,350.83,8.26,7.2,13
42551.319,1031,351.94,11.6,5.3,13
42551.329,2510,353.12,5.06,7.2,13
42551.329,1836,353.12,5.18,9.6,13
42551.34,1132,354.96,10.08,5.3,13
42551.34,500,359.65,22.7,7,13
42551.403,836,2.52,16.76,7,13
42551.446,911,7.32,15.57,5.3,13
42551.487,1099,12.28,12.41,7,13
42551.529,841,17.18,11.46,5.3,13
42551.572,932,21.6,10.21,6,13
42551.613,733,27.79,12.44,5.3,13
42551.613,570,27.55,15.44,7,13
42551.655,1404,31.02,9.23,8.4,13
42551.696,1233,37.41,11.16,5.3,13
42553.815,716,294.46,18,5.3,14
42553.835,696,296.98,19.3,5.3,14
42553.856,670,299,13.3,5.3,14
42553.881,1015,302.02,13.95,5.3,14
42553.899,924,306.81,10.53,5.3,14
42553.961,1025,311.52,11.62,5.3,14
42553.961,1050,311.52,13.49,5.3,14
42553.961,628,311.52,16.75,5.3,14
42553.961,680,312.01,17.89,5.3,14
42553.983,933,314.28,13.72,5.3,14
42554.003,995,319.7,11.18,5.3,14
42554.025,1336,319.57,10.64,5.3,14
42554.025,966,319.1,14.47,5.3,14
42554.066,738,324.63,17.41,5.3,14
42554.109,1239,328.57,10.07,6,14
42554.13,720,332.19,14.49,5.3,14
42554.15,1352,332.9,6.84,6,14
42554.15,589,334.29,18.86,7,14
42554.17,1005,337.04,12.86,5.3,14
42554.182,2003,338.34,4.73,8.4,14
42554.214,748,341.88,17.26,5.3,14
42554.224,2245,343.78,5.61,7.2,14
42554.235,1228,343.7,9.68,6,14
42554.235,371,344.72,27.43,5.3,14
42554.245,2069,346.32,4.66,6,14
42554.245,1382,345.6,6.33,6,14
42554.266,1692,348.86,6.43,6,14
42554.276,1250,348.48,7.28,6,14
42554.276,839,349.74,15.99,5.3,14
42554.286,2333,350.67,3.9,6,14
42554.298,1169,352.05,11.68,10.6,14
42554.298,445,352.07,24.95,5.3,14
42554.307,2480,355.11,4.43,7.2,14
42554.317,1424,353.48,8.12,7.2,14
42554.317,338,354.85,29.38,5.3,14
42554.361,700,359.91,14.05,5.3,14
42554.361,676,359.68,17.69,5.3,14
42554.381,1203,2.2,10.71,7,14
42554.425,926,7.27,15.49,5.3,14
42554.485,856,14.86,11.93,5.3,14
42554.591,753,27.46,12.63,5.3,14
42554.591,733,27.46,12.74,5.3,14
42554.612,786,29.98,11.9,5.3,14
42554.674,1471,36.2,8.36,6,14
42554.737,1372,43.88,7.37,6,14
42556.667,719,279.42,14.88,5.3,15
42556.793,668,294.09,15.46,7,15
42556.814,712,296.87,18.82,5.3,15
42556.835,690,299.41,13.11,5.3,15
42556.835,909,299.12,15.46,7,15
42556.835,594,299.61,24.56,5.3,15
42556.856,1030,302.12,13.96,5.3,15
42556.876,940,304.97,10.44,6,15
42556.919,643,309.6,14.58,7,15
42556.919,703,309.6,20.45,5.3,15
42556.939,1062,311.58,12.9,5.3,15
42556.961,1001,315.31,10.97,7,15
42556.961,966,317.64,12.19,5.3,15
42557.013,1388,320.31,6.23,9.6,15
42557.024,1359,320.32,7.81,6,15
42557.044,1011,324.47,11.4,5.3,15
42557.044,752,324.2,17.09,5.3,15
42557.044,683,324.21,21.3,5.3,15
42557.055,1624,326.09,5.45,8.4,15
42557.067,492,326.98,23.13,5.3,15
42557.086,1253,328.25,8.53,6,15
42557.086,700,331.43,13.92,5.3,15
42557.17,1184,338.71,10.2,6,15
42557.17,1146,339.9,11.2,5.3,15
42557.17,690,339.71,19.66,5.3,15
42557.191,1321,341.32,7.74,6,15
42557.191,1035,342.45,11.65,5.3,15
42557.191,763,342.46,17.13,5.3,15
42557.191,563,341.97,20.1,5.3,15
42557.245,1874,348.58,6.27,8.4,15
42557.254,906,350.08,11.47,8.8,15
42557.264,2349,351.2,3.72,6,15
42557.264,1619,350.79,6.63,6,15
42557.275,404,352.64,22.74,5.3,15
42557.286,2093,353.63,5.12,6,15
42557.286,2559,353.56,5.33,7.2,15
42557.296,1967,353.58,6.78,7.2,15
42557.296,1063,355.17,12.95,8.8,15
42557.319,773,357.71,17.96,5.3,15
42557.319,533,359.14,21.35,7,15
42557.327,2959,358.38,3.35,8.4,15
42557.327,1340,0.49,6.89,6,15
42557.338,1010,358.41,8.71,6,15
42557.36,1215,2.28,10.95,5.3,15
42557.422,546,10.15,19.9,5.3,15
42557.476,1600,16.09,6.41,6,15
42557.569,775,27.56,15.17,5.3,15
42557.589,603,30.37,14.49,7,15
42557.632,1467,33.81,8.52,6,15
42557.652,1280,38.55,8.51,7.2,15
42559.603,961,274.28,11.57,7,16
42559.791,725,296.96,18.3,5.3,16
42559.813,605,299.24,24.05,5.3,16
42559.833,1012,302,11.08,7,16
42559.855,956,304.26,10.12,5.3,16
42559.896,1048,309.71,12.54,7,16
42559.918,661,311.7,19.04,5.3,16
42559.938,1010,314.68,11.32,5.3,16
42559.981,1030,317.89,9.56,6,16
42559.981,982,319.71,11.7,5.3,16
42559.981,1398,319.88,10.17,8.8,16
42560.025,411,324.27,23.84,5.3,16
42560.044,1024,326.79,12.68,7,16
42560.044,504,326.8,22.87,5.3,16
42560.064,1272,328.32,8.4,6,16
42560.086,1421,330.52,8.54,6,16
42560.086,1280,330.52,10.08,8.4,16
42560.117,1975,335.59,5.85,7.2,16
42560.128,399,338.73,25.02,5.3,16
42560.138,260,337.02,36.51,5.3,16
42560.138,2025,338.16,5.47,8.4,16
42560.149,1202,338.25,9.77,7.2,16
42560.149,1163,340.01,10.66,5.3,16
42560.159,1341,341.05,7.42,6,16
42560.169,1052,342.33,12.26,5.3,16
42560.169,780,342.57,16.31,5.3,16
42560.19,475,344.75,23.55,5.3,16
42560.201,2102,345.8,4.42,6,16
42560.214,913,347.45,14.3,5.3,16
42560.222,1991,348.72,5,6,16
42560.222,1902,349.05,5.33,8.4,16
42560.232,761,349.97,11.49,5.3,16
42560.253,781,352.23,15.7,5.3,16
42560.275,1109,354.74,12.28,5.3,16
42560.296,546,357.29,20.67,5.3,16
42560.337,874,2.63,14.72,5.3,16
42560.4,610,9.93,15.74,5.3,16
42560.421,990,12.46,14.18,5.3,16
42560.452,1594,16.62,5.66,6,16
42560.505,796,22.83,12.2,5.3,16
42560.527,781,25.59,15.23,5.3,16
42560.588,650,32.95,14.39,5.3,16
42560.663,1399,41.79,6.54,6,16
42560.683,1424,43.99,7.7,6,16
42562.707,764,289.22,14.77,5.3,17
42562.749,995,294.27,14.02,5.3,17
42562.771,732,296.8,14.33,5.3,17
42562.832,1066,304.36,11.44,7,17
42562.874,984,308.02,9.85,6,17
42562.895,1099,311.8,12.62,7,17
42562.937,1016,316.84,13.23,7,17
42562.959,1011,320.58,11.03,7,17
42562.98,1164,322.07,11.85,10.6,17
42562.98,716,322.36,20.15,5.3,17
42563.001,948,324.62,10.15,5.3,17
42563.001,1079,324.87,11.75,8.8,17
42563.025,1438,326.87,9.69,5.3,17
42563.043,1292,328.47,8.23,6,17
42563.043,698,329.46,18.33,5.3,17
42563.084,1045,334.97,12.49,5.3,17
42563.105,1219,337.46,11.04,5.3,17
42563.105,412,337.4,23.32,5.3,17
42563.127,1220,338.26,9.81,6,17
42563.127,1179,339.86,11.1,5.3,17
42563.147,1359,340.8,6.98,6,17
42563.147,1065,342.65,11.25,5.3,17
